Model,CV MSE,CV MAE,CV RMSE,CV R2,CV MAPE,CV Directional Accuracy (%),Test MSE,Test MAE,Test RMSE,Test R2,Test MAPE,Test Directional Accuracy (%),R2 Gap,RMSE Ratio,Dir Acc Gap (%),Overfitting Status,Model Status (Generalization)
XGBoost (RandomSearchCV),0.0001,0.0083,0.0118,-0.004,14139.5961,52.3684,0.0001,0.006,0.0081,-0.0001,8508.8884,51.2035,-0.0039,0.6864,-1.1649,Mild,Poor
XGBoost (Optuna),0.0001,0.0083,0.0118,-0.0052,11982.1378,52.3684,0.0001,0.006,0.0081,-0.0003,11782.8189,51.2035,-0.0049,0.6864,-1.1649,Mild,Poor
XGBoost (Baseline),0.0002,0.0093,0.0129,-0.2029,94406.917,51.8421,0.0001,0.0066,0.0088,-0.1872,137432.2093,47.9212,-0.0157,0.6822,-3.9209,Mild,Poor
LightGBM (Optuna),0.0002,0.0093,0.0129,-0.1934,111962.4241,53.4211,0.0001,0.006,0.0081,0.0016,16306.2398,51.6411,-0.195,0.6279,-1.78,Mild,Poor
LightGBM (RandomSearchCV),0.0001,0.0083,0.0118,-0.0051,12742.0942,52.3026,0.0001,0.006,0.0081,-0.0015,5051.7624,50.9847,-0.0036,0.6864,-1.3179,Mild,Poor
LightGBM (Baseline),0.0002,0.0094,0.0131,-0.2337,114227.7872,51.3816,0.0001,0.0065,0.0087,-0.1591,86473.8192,48.5777,-0.0746,0.6641,-2.8039,Mild,Poor
CatBoost (Optuna),0.0002,0.0088,0.0123,-0.0958,84317.379,51.3158,0.0001,0.006,0.0081,0.0115,11508.0825,52.2976,-0.1073,0.6585,0.9818,Mild,Poor
CatBoost (Baseline),0.0002,0.0091,0.0127,-0.1679,63035.5723,50.5263,0.0001,0.006,0.0081,0.0024,8865.7085,49.6718,-0.1703,0.6378,-0.8545,Mild,Poor
CatBoost (RandomSearchCV),0.0001,0.0087,0.0122,-0.0686,51041.2248,51.9079,0.0001,0.006,0.0081,0.0014,9643.8462,49.453,-0.07,0.6639,-2.4549,Mild,Poor
LSTM (Manual Tuning),0.0001,0.0083,0.0118,-0.0175,53213.3991,52.9197,0.3287,0.4239,0.5733,-0.0003,100.1285,49.6756,-0.0172,48.5847,-3.2441,High,Poor
LSTM (Baseline),0.0001,0.0083,0.0118,-0.0067,48079.2898,52.3944,0.3377,0.4277,0.5811,-0.0008,99.8694,49.917,-0.0059,49.2458,-2.4774,High,Poor
LSTM (Random Search),0.0001,0.0084,0.0118,-0.0186,37963.2736,50.7336,0.284,0.4094,0.5329,-0.0023,99.9073,50,-0.0163,45.161,-0.7336,High,Poor
